Shirt No,Name,BirthDate,Height,Foot,Joined Date,Contract End Date,Market Value
1,Alisson,"Oct 2, 1992 (30)","1,93m",right,"Jul 19, 2018","Jun 30, 2027",€50.00m
13,Adrián,"Jan 3, 1987 (36)","1,90m",right,"Aug 5, 2019","Jun 30, 2023",€1.00m
5,Ibrahima Konaté,"May 25, 1999 (23)","1,94m",right,"Jul 1, 2021","Jun 30, 2026",€35.00m
32,Joel Matip,"Aug 8, 1991 (31)","1,95m",right,"Jul 1, 2016","Jun 30, 2024",€16.00m
46,Rhys Williams,"Feb 3, 2001 (22)","1,95m",right,"Jul 1, 2020","Jun 30, 2026",€3.00m
21,Konstantinos Tsimikas,"May 12, 1996 (26)","1,79m",left,"Aug 10, 2020","Jun 30, 2025",€18.00m
22,Calvin Ramsay,"Jul 31, 2003 (19)","1,77m",right,"Jul 1, 2022","Jun 30, 2027",€5.00m
43,Stefan Bajcetic,"Oct 22, 2004 (18)","1,85m",right,"Jul 1, 2022","Jun 30, 2027",€1.00m
8,Naby Keïta,"Feb 10, 1995 (28)","1,72m",right,"Jul 1, 2018","Jun 30, 2023",€20.00m
29,Arthur Melo,"Aug 12, 1996 (26)","1,72m",right,"Sep 1, 2022","Jun 30, 2023",€18.00m
15,Alex Oxlade-Chamberlain,"Aug 15, 1993 (29)","1,75m",right,"Aug 31, 2017","Jun 30, 2023",€10.00m
19,Harvey Elliott,"Apr 4, 2003 (19)","1,70m",left,"Jul 1, 2021","Jun 30, 2027",€35.00m
23,Luis Díaz,"Jan 13, 1997 (26)","1,80m",right,"Jan 30, 2022","Jun 30, 2027",€75.00m
20,Diogo Jota,"Dec 4, 1996 (26)","1,78m",right,"Sep 19, 2020","Jun 30, 2027",€55.00m
27,Darwin Núñez,"Jun 24, 1999 (23)","1,87m",right,"Jul 1, 2022","Jun 30, 2028",€70.00m
62,Caoimhín Kelleher,"Nov 23, 1998 (24)","1,88m",right,"Jul 1, 2019","Jun 30, 2026",€8.00m
4,Virgil van Dijk,"Jul 8, 1991 (31)","1,93m",right,"Jan 1, 2018","Jun 30, 2025",€50.00m
2,Joe Gomez,"May 23, 1997 (25)","1,88m",right,"Jul 1, 2015","Jun 30, 2027",€30.00m
47,Nathaniel Phillips,"Mar 21, 1997 (25)","1,90m",right,"Jul 1, 2019","Jun 30, 2025",€6.00m
26,Andrew Robertson,"Mar 11, 1994 (28)","1,78m",left,"Jul 21, 2017","Jun 30, 2026",€55.00m
66,Trent Alexander-Arnold,"Oct 7, 1998 (24)","1,80m",right,"Jul 1, 2016","Jun 30, 2025",€70.00m
3,Fabinho,"Oct 23, 1993 (29)","1,88m",right,"Jul 1, 2018","Jun 30, 2026",€55.00m
17,Curtis Jones,"Jan 30, 2001 (22)","1,85m",right,"Jul 1, 2020","Jun 30, 2027",€22.00m
6,Thiago,"Apr 11, 1991 (31)","1,74m",right,"Sep 18, 2020","Jun 30, 2024",€18.00m
14,Jordan Henderson,"Jun 17, 1990 (32)","1,87m",right,"Jul 1, 2011","Jun 30, 2025",€15.00m
7,James Milner,"Jan 4, 1986 (37)","1,75m",right,"Jul 1, 2015","Jun 30, 2023",€2.00m
28,Fábio Carvalho,"Aug 30, 2002 (20)","1,70m",right,"Jul 1, 2022","Jun 30, 2027",€20.00m
18,Cody Gakpo,"May 7, 1999 (23)","1,93m",right,"Jan 1, 2023","Jun 30, 2028",€60.00m
11,Mohamed Salah,"Jun 15, 1992 (30)","1,75m",left,"Jul 1, 2017","Jun 30, 2025",€80.00m
9,Roberto Firmino,"Oct 2, 1991 (31)","1,81m",right,"Jul 1, 2015","Jun 30, 2023",€28.00m
